mydate,cday,dday,ma
2020-03-01,0.0,0.0,
2020-03-02,0.0,0.0,
2020-03-03,0.0,0.0,
2020-03-04,0.0,0.0,
2020-03-05,0.0,0.0,
2020-03-06,0.0,0.0,
2020-03-07,0.0,0.0,0.0
2020-03-08,1.0,0.0,0.14285714285714285
2020-03-09,0.0,0.0,0.14285714285714285
2020-03-10,0.0,0.0,0.14285714285714285
2020-03-11,0.0,0.0,0.14285714285714285
2020-03-12,0.0,0.0,0.14285714285714285
2020-03-13,1.0,0.0,0.2857142857142857
2020-03-14,0.0,0.0,0.2857142857142857
2020-03-15,0.0,0.0,0.14285714285714285
2020-03-16,1.0,0.0,0.2857142857142857
2020-03-17,2.0,0.0,0.5714285714285714
2020-03-18,2.0,0.0,0.8571428571428571
2020-03-19,1.0,0.0,1.0
2020-03-20,6.0,1.0,1.7142857142857142
2020-03-21,8.0,0.0,2.857142857142857
2020-03-22,18.0,0.0,5.428571428571429
2020-03-23,60.0,0.0,13.857142857142858
2020-03-24,20.0,1.0,16.428571428571427
2020-03-25,28.0,0.0,20.142857142857142
2020-03-26,82.0,0.0,31.714285714285715
2020-03-27,72.0,0.0,41.142857142857146
2020-03-28,32.0,3.0,44.57142857142857
2020-03-29,20.0,0.0,44.857142857142854
2020-03-30,202.0,0.0,65.14285714285714
2020-03-31,84.0,2.0,74.28571428571429
2020-04-01,111.0,2.0,86.14285714285714
2020-04-02,76.0,5.0,85.28571428571429
2020-04-03,87.0,6.0,87.42857142857143
2020-04-04,81.0,4.0,94.42857142857143
2020-04-05,60.0,5.0,100.14285714285714
2020-04-06,190.0,3.0,98.42857142857143
2020-04-07,119.0,7.0,103.42857142857143
2020-04-08,103.0,6.0,102.28571428571429
2020-04-09,106.0,15.0,106.57142857142857
2020-04-10,148.0,3.0,115.28571428571429
2020-04-11,83.0,8.0,115.57142857142857
2020-04-12,41.0,8.0,112.85714285714286
2020-04-13,70.0,2.0,95.71428571428571
2020-04-14,53.0,6.0,86.28571428571429
2020-04-15,77.0,14.0,82.57142857142857
2020-04-16,92.0,11.0,80.57142857142857
2020-04-17,78.0,3.0,70.57142857142857
2020-04-18,80.0,4.0,70.14285714285714
2020-04-19,52.0,5.0,71.71428571428571
2020-04-20,72.0,11.0,72.0
2020-04-21,80.0,11.0,75.85714285714286
2020-04-22,77.0,11.0,75.85714285714286
2020-04-23,136.0,12.0,82.14285714285714
2020-04-24,96.0,24.0,84.71428571428571
2020-04-25,85.0,12.0,85.42857142857143
2020-04-26,79.0,15.0,89.28571428571429
2020-04-27,65.0,9.0,88.28571428571429
2020-04-28,69.0,9.0,86.71428571428571
2020-04-29,55.0,7.0,83.57142857142857
2020-04-30,113.0,10.0,80.28571428571429
2020-05-01,102.0,10.0,81.14285714285714
2020-05-02,69.0,8.0,78.85714285714286
2020-05-03,82.0,7.0,79.28571428571429
2020-05-04,46.0,6.0,76.57142857142857
2020-05-05,70.0,18.0,76.71428571428571
2020-05-06,129.0,11.0,87.28571428571429
2020-05-07,54.0,18.0,78.85714285714286
2020-05-08,62.0,13.0,73.14285714285714
2020-05-09,53.0,10.0,70.85714285714286
2020-05-10,28.0,10.0,63.142857142857146
2020-05-11,37.0,8.0,61.857142857142854
2020-05-12,40.0,7.0,57.57142857142857
2020-05-13,91.0,14.0,52.142857142857146
2020-05-14,56.0,9.0,52.42857142857143
2020-05-15,85.0,13.0,55.714285714285715
2020-05-16,47.0,9.0,54.857142857142854
2020-05-17,25.0,5.0,54.42857142857143
2020-05-18,51.0,8.0,56.42857142857143
2020-05-19,31.0,6.0,55.142857142857146
2020-05-20,77.0,5.0,53.142857142857146
2020-05-21,48.0,7.0,52.0
2020-05-22,64.0,4.0,49.0
2020-05-23,29.0,6.0,46.42857142857143
2020-05-24,73.0,0.0,53.285714285714285
2020-05-25,39.0,4.0,51.57142857142857
2020-05-26,69.0,3.0,57.0
2020-05-27,56.0,1.0,54.0
2020-05-28,46.0,1.0,53.714285714285715
2020-05-29,47.0,3.0,51.285714285714285
2020-05-30,34.0,1.0,52.0
2020-05-31,33.0,1.0,46.285714285714285
2020-06-01,47.0,1.0,47.42857142857143
2020-06-02,27.0,1.0,41.42857142857143
2020-06-03,69.0,3.0,43.285714285714285
2020-06-04,39.0,1.0,42.285714285714285
2020-06-05,33.0,3.0,40.285714285714285
2020-06-06,43.0,3.0,41.57142857142857
2020-06-07,18.0,2.0,39.42857142857143
2020-06-08,50.0,1.0,39.857142857142854
2020-06-09,54.0,1.0,43.714285714285715
2020-06-10,28.0,2.0,37.857142857142854
2020-06-11,5.0,0.0,33.0
2020-06-12,0.0,0.0,28.285714285714285
2020-06-13,46.0,1.0,28.714285714285715
2020-06-14,30.0,0.0,30.428571428571427
2020-06-15,68.0,0.0,33.0
2020-06-16,49.0,3.0,32.285714285714285
2020-06-17,16.0,13.0,30.571428571428573
2020-06-18,62.0,28.0,38.714285714285715
2020-06-19,38.0,3.0,44.142857142857146
2020-06-20,56.0,3.0,45.57142857142857
2020-06-21,25.0,0.0,44.857142857142854
2020-06-22,28.0,1.0,39.142857142857146
2020-06-23,63.0,4.0,41.142857142857146
2020-06-24,63.0,3.0,47.857142857142854
2020-06-25,88.0,0.0,51.57142857142857
2020-06-26,109.0,9.0,61.714285714285715
2020-06-27,92.0,1.0,66.85714285714286
2020-06-28,64.0,0.0,72.42857142857143
2020-06-29,89.0,0.0,81.14285714285714
2020-06-30,136.0,0.0,91.57142857142857
2020-07-01,34.0,13.0,87.42857142857143
2020-07-02,66.0,1.0,84.28571428571429
2020-07-03,73.0,1.0,79.14285714285714
2020-07-04,82.0,1.0,77.71428571428571
2020-07-05,50.0,0.0,75.71428571428571
2020-07-06,44.0,0.0,69.28571428571429
2020-07-07,135.0,9.0,69.14285714285714
2020-07-08,218.0,0.0,95.42857142857143
2020-07-09,185.0,0.0,112.42857142857143
2020-07-10,117.0,2.0,118.71428571428571
2020-07-11,175.0,2.0,132.0
2020-07-12,48.0,0.0,131.71428571428572
2020-07-13,88.0,6.0,138.0
