mydate,cday,dday,ma
2020-03-01,0,0,
2020-03-02,0,0,
2020-03-03,0,0,
2020-03-04,0,0,
2020-03-05,0,0,
2020-03-06,0,0,
2020-03-07,0,0,0.0
2020-03-08,1,0,0.14285714285714285
2020-03-09,0,0,0.14285714285714285
2020-03-10,0,0,0.14285714285714285
2020-03-11,1,0,0.2857142857142857
2020-03-12,0,0,0.2857142857142857
2020-03-13,0,0,0.2857142857142857
2020-03-14,0,0,0.2857142857142857
2020-03-15,0,0,0.14285714285714285
2020-03-16,0,0,0.14285714285714285
2020-03-17,2,0,0.42857142857142855
2020-03-18,4,0,0.8571428571428571
2020-03-19,5,0,1.5714285714285714
2020-03-20,4,0,2.142857142857143
2020-03-21,2,1,2.4285714285714284
2020-03-22,3,0,2.857142857142857
2020-03-23,8,0,4.0
2020-03-24,2,0,4.0
2020-03-25,11,1,5.0
2020-03-26,14,0,6.285714285714286
2020-03-27,26,1,9.428571428571429
2020-03-28,11,0,10.714285714285714
2020-03-29,15,0,12.428571428571429
2020-03-30,14,0,13.285714285714286
2020-03-31,18,0,15.571428571428571
2020-04-01,10,0,15.428571428571429
2020-04-02,13,1,15.285714285714286
2020-04-03,14,0,13.571428571428571
2020-04-04,0,0,12.0
2020-04-05,20,1,12.714285714285714
2020-04-06,0,0,10.714285714285714
2020-04-07,11,1,9.714285714285714
2020-04-08,6,3,9.142857142857142
2020-04-09,20,0,10.142857142857142
2020-04-10,0,0,8.142857142857142
2020-04-11,11,0,9.714285714285714
2020-04-12,30,0,11.142857142857142
2020-04-13,4,0,11.714285714285714
2020-04-14,9,0,11.428571428571429
2020-04-15,5,1,11.285714285714286
2020-04-16,15,1,10.571428571428571
2020-04-17,8,1,11.714285714285714
2020-04-18,18,1,12.714285714285714
2020-04-19,23,0,11.714285714285714
2020-04-20,13,1,13.0
2020-04-21,10,0,13.142857142857142
2020-04-22,7,0,13.428571428571429
2020-04-23,9,0,12.571428571428571
2020-04-24,20,0,14.285714285714286
2020-04-25,15,0,13.857142857142858
2020-04-26,4,1,11.142857142857142
2020-04-27,11,0,10.857142857142858
2020-04-28,9,2,10.714285714285714
2020-04-29,18,0,12.285714285714286
2020-04-30,17,1,13.428571428571429
2020-05-01,17,0,13.0
2020-05-02,15,1,13.0
2020-05-03,21,0,15.428571428571429
2020-05-04,17,0,16.285714285714285
2020-05-05,13,0,16.857142857142858
2020-05-06,18,0,16.857142857142858
2020-05-07,21,2,17.428571428571427
2020-05-08,13,2,16.857142857142858
2020-05-09,37,0,20.0
2020-05-10,14,0,19.0
2020-05-11,17,0,19.0
2020-05-12,29,0,21.285714285714285
2020-05-13,23,0,22.0
2020-05-14,33,0,23.714285714285715
2020-05-15,18,0,24.428571428571427
2020-05-16,27,0,23.0
2020-05-17,3,0,21.428571428571427
2020-05-18,16,1,21.285714285714285
2020-05-19,12,0,18.857142857142858
2020-05-20,24,0,19.0
2020-05-21,3,0,14.714285714285714
2020-05-22,8,1,13.285714285714286
2020-05-23,8,0,10.571428571428571
2020-05-24,7,0,11.142857142857142
2020-05-25,4,0,9.428571428571429
2020-05-26,5,0,8.428571428571429
2020-05-27,6,0,5.857142857142857
2020-05-28,11,0,7.0
2020-05-29,11,0,7.428571428571429
2020-05-30,7,0,7.285714285714286
2020-05-31,11,0,7.857142857142857
2020-06-01,13,1,9.142857142857142
2020-06-02,8,0,9.571428571428571
2020-06-03,18,0,11.285714285714286
2020-06-04,12,0,11.428571428571429
2020-06-05,17,1,12.285714285714286
2020-06-06,0,0,11.285714285714286
2020-06-07,11,0,11.285714285714286
2020-06-08,19,0,12.142857142857142
2020-06-09,8,3,12.142857142857142
2020-06-10,5,0,10.285714285714286
2020-06-11,34,0,13.428571428571429
2020-06-12,29,0,15.142857142857142
2020-06-13,0,0,15.142857142857142
2020-06-14,41,0,19.428571428571427
2020-06-15,4,0,17.285714285714285
2020-06-16,22,1,19.285714285714285
2020-06-17,17,0,21.0
2020-06-18,26,2,19.857142857142858
2020-06-19,20,1,18.571428571428573
2020-06-20,30,0,22.857142857142858
2020-06-21,7,0,18.0
2020-06-22,47,1,24.142857142857142
2020-06-23,17,0,23.428571428571427
2020-06-24,13,1,22.857142857142858
2020-06-25,4,2,19.714285714285715
2020-06-26,18,3,19.428571428571427
2020-06-27,32,0,19.714285714285715
2020-06-28,43,0,24.857142857142858
2020-06-29,14,2,20.142857142857142
2020-06-30,25,3,21.285714285714285
2020-07-01,25,1,23.0
2020-07-02,25,0,26.0
2020-07-03,31,0,27.857142857142858
2020-07-04,15,0,25.428571428571427
2020-07-05,38,1,24.714285714285715
2020-07-06,13,0,24.571428571428573
2020-07-07,22,2,24.142857142857142
2020-07-08,14,1,22.571428571428573
2020-07-09,46,2,25.571428571428573
2020-07-10,27,0,25.0
2020-07-11,61,0,31.571428571428573
2020-07-12,28,0,30.142857142857142
2020-07-13,34,1,33.142857142857146
2020-07-14,46,2,36.57142857142857
2020-07-15,36,0,39.714285714285715
2020-07-16,53,0,40.714285714285715
2020-07-17,35,1,41.857142857142854
2020-07-18,30,1,37.42857142857143
2020-07-19,47,2,40.142857142857146
2020-07-20,30,2,39.57142857142857
2020-07-21,40,0,38.714285714285715
2020-07-22,28,0,37.57142857142857
2020-07-23,39,1,35.57142857142857
2020-07-24,56,1,38.57142857142857
2020-07-25,52,0,41.714285714285715
2020-07-26,28,1,39.0
2020-07-27,24,0,38.142857142857146
2020-07-28,37,2,37.714285714285715
2020-07-29,21,0,36.714285714285715
2020-07-30,38,0,36.57142857142857
2020-07-31,42,0,34.57142857142857
2020-08-01,39,0,32.714285714285715
2020-08-02,53,0,36.285714285714285
2020-08-03,25,1,36.42857142857143
2020-08-04,21,0,34.142857142857146
2020-08-05,42,0,37.142857142857146
2020-08-06,34,0,36.57142857142857
2020-08-07,48,1,37.42857142857143
2020-08-08,46,1,38.42857142857143
2020-08-09,28,0,34.857142857142854
2020-08-10,27,0,35.142857142857146
2020-08-11,41,3,38.0
2020-08-12,26,0,35.714285714285715
2020-08-13,35,0,35.857142857142854
2020-08-14,50,0,36.142857142857146
2020-08-15,75,0,40.285714285714285
2020-08-16,39,0,41.857142857142854
2020-08-17,30,0,42.285714285714285
