mydate,cday,dday,ma
2020-03-01,0,0,
2020-03-02,0,0,
2020-03-03,0,0,
2020-03-04,0,0,
2020-03-05,0,0,
2020-03-06,0,0,
2020-03-07,0,0,0.0
2020-03-08,0,0,0.0
2020-03-09,0,0,0.0
2020-03-10,0,0,0.0
2020-03-11,2,0,0.2857142857142857
2020-03-12,0,0,0.2857142857142857
2020-03-13,1,0,0.42857142857142855
2020-03-14,0,0,0.42857142857142855
2020-03-15,0,0,0.42857142857142855
2020-03-16,2,0,0.7142857142857143
2020-03-17,3,0,1.1428571428571428
2020-03-18,1,0,1.0
2020-03-19,3,0,1.4285714285714286
2020-03-20,12,0,3.0
2020-03-21,4,0,3.5714285714285716
2020-03-22,6,0,4.428571428571429
2020-03-23,9,0,5.428571428571429
2020-03-24,26,0,8.714285714285714
2020-03-25,17,0,11.0
2020-03-26,24,0,14.0
2020-03-27,34,0,17.142857142857142
2020-03-28,8,0,17.714285714285715
2020-03-29,64,1,26.0
2020-03-30,33,3,29.428571428571427
2020-03-31,39,-1,31.285714285714285
2020-04-01,25,3,32.42857142857143
2020-04-02,58,0,37.285714285714285
2020-04-03,77,2,43.42857142857143
2020-04-04,62,3,51.142857142857146
2020-04-05,66,3,51.42857142857143
2020-04-06,69,3,56.57142857142857
2020-04-07,70,4,61.0
2020-04-08,81,3,69.0
2020-04-09,125,1,78.57142857142857
2020-04-10,89,3,80.28571428571429
2020-04-11,94,4,84.85714285714286
2020-04-12,53,3,83.0
2020-04-13,44,3,79.42857142857143
2020-04-14,53,3,77.0
2020-04-15,88,11,78.0
2020-04-16,96,8,73.85714285714286
2020-04-17,109,7,76.71428571428571
2020-04-18,112,8,79.28571428571429
2020-04-19,100,9,86.0
2020-04-20,90,6,92.57142857142857
2020-04-21,88,26,97.57142857142857
2020-04-22,87,10,97.42857142857143
2020-04-23,135,0,103.0
2020-04-24,157,9,109.85714285714286
2020-04-25,123,6,111.42857142857143
2020-04-26,83,0,109.0
2020-04-27,81,7,107.71428571428571
2020-04-28,66,20,104.57142857142857
2020-04-29,88,17,104.71428571428571
2020-04-30,161,20,108.42857142857143
2020-05-01,156,20,108.28571428571429
2020-05-02,113,12,106.85714285714286
2020-05-03,118,3,111.85714285714286
2020-05-04,77,0,111.28571428571429
2020-05-05,87,40,114.28571428571429
2020-05-06,74,24,112.28571428571429
2020-05-07,82,16,101.0
2020-05-08,128,11,97.0
2020-05-09,98,5,94.85714285714286
2020-05-10,137,5,97.57142857142857
2020-05-11,62,8,95.42857142857143
2020-05-12,74,15,93.57142857142857
2020-05-13,41,9,88.85714285714286
2020-05-14,88,22,89.71428571428571
2020-05-15,61,15,80.14285714285714
2020-05-16,60,11,74.71428571428571
2020-05-17,41,1,61.0
2020-05-18,61,-5,60.857142857142854
2020-05-19,47,9,57.0
2020-05-20,78,5,62.285714285714285
2020-05-21,74,11,60.285714285714285
2020-05-22,40,12,57.285714285714285
2020-05-23,54,6,56.42857142857143
2020-05-24,19,1,53.285714285714285
2020-05-25,22,0,47.714285714285715
2020-05-26,15,0,43.142857142857146
2020-05-27,19,12,34.714285714285715
2020-05-28,37,13,29.428571428571427
2020-05-29,46,7,30.285714285714285
2020-05-30,33,8,27.285714285714285
2020-05-31,30,2,28.857142857142858
2020-06-01,10,0,27.142857142857142
2020-06-02,20,12,27.857142857142858
2020-06-03,25,4,28.714285714285715
2020-06-04,25,3,27.0
2020-06-05,33,3,25.142857142857142
2020-06-06,47,4,27.142857142857142
2020-06-07,22,0,26.0
2020-06-08,16,0,26.857142857142858
2020-06-09,23,3,27.285714285714285
2020-06-10,30,2,28.0
2020-06-11,29,6,28.571428571428573
2020-06-12,25,1,27.428571428571427
2020-06-13,24,1,24.142857142857142
2020-06-14,7,0,22.0
2020-06-15,13,0,21.571428571428573
2020-06-16,13,2,20.142857142857142
2020-06-17,16,2,18.142857142857142
2020-06-18,30,3,18.285714285714285
2020-06-19,13,2,16.571428571428573
2020-06-20,22,1,16.285714285714285
2020-06-21,18,0,17.857142857142858
2020-06-22,12,0,17.714285714285715
2020-06-23,13,3,17.714285714285715
2020-06-24,39,4,21.0
2020-06-25,23,1,20.0
2020-06-26,29,1,22.285714285714285
2020-06-27,30,2,23.428571428571427
2020-06-28,12,1,22.571428571428573
2020-06-29,10,-1,22.285714285714285
2020-06-30,15,1,22.571428571428573
2020-07-01,40,1,22.714285714285715
2020-07-02,21,0,22.428571428571427
2020-07-03,18,2,20.857142857142858
2020-07-04,19,0,19.285714285714285
2020-07-05,34,0,22.428571428571427
2020-07-06,28,1,25.0
2020-07-07,40,2,28.571428571428573
2020-07-08,19,0,25.571428571428573
2020-07-09,35,1,27.571428571428573
2020-07-10,28,1,29.0
2020-07-11,33,0,31.0
2020-07-12,33,0,30.857142857142858
2020-07-13,16,0,29.142857142857142
2020-07-14,39,0,29.0
2020-07-15,39,0,31.857142857142858
2020-07-16,39,0,32.42857142857143
2020-07-17,56,1,36.42857142857143
2020-07-18,42,0,37.714285714285715
2020-07-19,39,0,38.57142857142857
2020-07-20,31,0,40.714285714285715
2020-07-21,84,0,47.142857142857146
2020-07-22,44,0,47.857142857142854
2020-07-23,19,1,45.0
2020-07-24,76,0,47.857142857142854
2020-07-25,46,0,48.42857142857143
2020-07-26,36,0,48.0
2020-07-27,22,0,46.714285714285715
2020-07-28,48,0,41.57142857142857
2020-07-29,26,0,39.0
2020-07-30,61,3,45.0
2020-07-31,49,1,41.142857142857146
2020-08-01,52,0,42.0
2020-08-02,39,1,42.42857142857143
2020-08-03,29,0,43.42857142857143
2020-08-04,31,1,41.0
2020-08-05,37,0,42.57142857142857
2020-08-06,32,1,38.42857142857143
2020-08-07,27,1,35.285714285714285
2020-08-08,24,0,31.285714285714285
2020-08-09,26,0,29.428571428571427
2020-08-10,14,0,27.285714285714285
2020-08-11,17,0,25.285714285714285
2020-08-12,36,0,25.142857142857142
2020-08-13,37,0,25.857142857142858
2020-08-14,37,1,27.285714285714285
2020-08-15,38,0,29.285714285714285
2020-08-16,36,0,30.714285714285715
2020-08-17,21,0,31.714285714285715
2020-08-18,14,1,31.285714285714285
2020-08-19,31,0,30.571428571428573
2020-08-20,27,0,29.142857142857142
