    date,cases
'2020-07-18', 40
'2020-07-20', 5
'2020-07-21', 7
'2020-07-23', 7
'2020-07-24', 18
'2020-07-25', 4
'2020-07-26', 9
'2020-07-27', 8
'2020-07-31', 19
'2020-08-01', 12
'2020-08-02', 3
'2020-08-03', 10
'2020-08-04', 8
'2020-08-05', 7
'2020-08-06', 9
'2020-08-07', 18
'2020-08-08', 10
'2020-08-09', 9
'2020-08-10', 1
'2020-08-11', 7
'2020-08-12', 9
'2020-08-13', 5
'2020-08-14', 9
'2020-08-15', 3
'2020-08-16', 2
'2020-08-17', 5
'2020-08-18', 7
'2020-08-19', 4
'2020-08-20', 2
'2020-08-21', 5
'2020-08-22', 6
'2020-08-23', 2
'2020-08-24', 2
'2020-08-25', 3
'2020-08-26', 6
'2020-08-28', 18
'2020-08-29', 10
'2020-08-30', 4
'2020-08-31', 13
'2020-09-02', 11
'2020-09-03', 13
'2020-09-04', 22
'2020-09-05', 4
'2020-09-06', 13
'2020-09-08', 6
'2020-09-09', 11
'2020-09-10', 4
'2020-09-11', 11
'2020-09-12', 12
'2020-09-13', 5
'2020-09-14', 21
'2020-09-15', 11
'2020-09-16', 16
'2020-09-17', 23
'2020-09-18', 20
'2020-09-19', 10
'2020-09-20', 17
'2020-09-21', 45
'2020-09-22', 14
'2020-09-23', 48
'2020-09-24', 47
'2020-09-25', 46
'2020-09-26', 39
'2020-09-27', 21
'2020-09-28', 15
'2020-09-29', 37
'2020-09-30', 34
'2020-10-01', 18
'2020-10-02', 58
'2020-10-03', 74
'2020-10-04', 30
'2020-10-05', 26
'2020-10-06', 54
'2020-10-07', 63
'2020-10-08', 40
'2020-10-09', 50
'2020-10-10', 68
'2020-10-11', 29
'2020-10-12', 26
'2020-10-13', 29
'2020-10-14', 63
'2020-10-15', 21
'2020-10-16', 82
'2020-10-17', 43
'2020-10-18', 24
'2020-10-19', 35
'2020-10-20', 39
'2020-10-21', 40
'2020-10-22', 20
'2020-10-23', 71
'2020-10-24', 26
'2020-10-25', 43
'2020-10-26', 12
'2020-10-27', 26
'2020-10-28', 35
'2020-10-29', 13
'2020-10-30', 35
'2020-10-31', 72
'2020-11-01', 31
'2020-11-02', 2
'2020-11-03', 27
'2020-11-04', 23
'2020-11-05', 37
'2020-11-06', 73
'2020-11-07', 69
'2020-11-08', 48
'2020-11-09', 13
'2020-11-10', 44
'2020-11-11', 73
'2020-11-12', 43
'2020-11-13', 83
'2020-11-14', 96
'2020-11-15', 31
'2020-11-16', 37
'2020-11-17', 82
'2020-11-18', 114
'2020-11-19', 97
'2020-11-20', 103
'2020-11-21', 80
'2020-11-22', 73
'2020-11-23', 60
'2020-11-24', 88
'2020-11-25', 92
